date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
23.12.2017 15:00;Southampton;Crystal Palace;1;1;1.73805;1.25546;1.8755;2.0491;2017;2017-12-23_Southampton_vs_Crystal Palace
31.01.2018 19:45;Southampton;Burnley;1;1;1.27393;1.22828;1.4495;0.502;2017;2018-01-31_Southampton_vs_Burnley
13.05.2018 15:00;Southampton;Arsenal;0;1;0.506624;2.3322;1.0368;2.1846;2017;2018-05-13_Southampton_vs_Arsenal
07.04.2018 14:00;Leicester;Tottenham;1;2;1.09224;1.79894;2.3392;1.6452;2017;2018-04-07_Leicester_vs_Tottenham
13.12.2017 20:00;West Ham;West Brom;0;0;0.405172;0.520382;0.7889999999999999;0.2783;2017;2017-12-13_West Ham_vs_West Brom
16.12.2017 15:00;Arsenal;Southampton;1;0;2.02472;0.587081;2.5936;0.7893;2017;2017-12-16_Arsenal_vs_Southampton
21.10.2017 15:00;Swansea;Bournemouth;1;2;0.559618;1.11834;0.3813;0.9179;2017;2017-10-21_Swansea_vs_Bournemouth
04.11.2017 15:00;Swansea;Bournemouth;0;1;1.24557;1.28703;1.6679;1.882;2017;2017-11-04_Swansea_vs_Bournemouth
13.05.2018 15:00;Swansea;Bournemouth;1;2;1.70936;1.38551;1.2654999999999998;1.5265;2017;2018-05-13_Swansea_vs_Bournemouth
20.01.2018 15:00;Stoke;Watford;2;0;0.987799;0.740795;2.046;0.6549;2017;2018-01-20_Stoke_vs_Watford
30.12.2017 15:00;Newcastle;Burnley;0;0;0.504379;1.20923;1.1258;2.4628;2017;2017-12-30_Newcastle_vs_Burnley
16.09.2017 15:00;Liverpool;Leicester;1;1;2.18727;1.24181;2.7088;1.8999;2017;2017-09-16_Liverpool_vs_Leicester
30.12.2017 15:00;Liverpool;Everton;2;1;2.56607;0.599608;2.5399;0.7019;2017;2017-12-30_Liverpool_vs_Everton
26.08.2017 15:00;Watford;Southampton;0;0;0.281459;0.795911;0.6756;0.7917;2017;2017-08-26_Watford_vs_Southampton
07.04.2018 14:00;Watford;Tottenham;1;2;1.36685;1.79894;1.3159;1.6452;2017;2018-04-07_Watford_vs_Tottenham
09.12.2017 15:00;Burnley;West Brom;1;0;0.485632;0.25228;0.9488;0.6035;2017;2017-12-09_Burnley_vs_West Brom
